season,celebrity_name,season_start,season_end,geo,anchor,season_ratio_mean,season_ratio_max,season_ratio_std,baseline_ratio_mean,baseline_ratio_max,baseline_ratio_std,lift_mean_ratio
4,Billy Ray Cyrus,2007-03-19,2007-05-22,US,Dancing with the Stars,0.05877804986232313,0.25,0.06384465034424648,0.037305465841382376,0.4,0.08046508639329085,0.021472584020940752
4,Clyde Drexler,2007-03-19,2007-05-22,US,Dancing with the Stars,0.0031330928253856067,0.034482758620689655,0.008356173587830333,0.0023214285714285715,0.1,0.013756955569115293,0.0008116642539570352
4,Heather Mills,2007-03-19,2007-05-22,US,Dancing with the Stars,0.11052724527349918,0.5,0.10797173560244719,0.17053652323624732,1.0,0.20410965138321294,-0.060009277962748145
4,Ian Ziering,2007-03-19,2007-05-22,US,Dancing with the Stars,0.007488422510205937,0.05555555555555555,0.013325777895327637,0.008556475170399222,0.25,0.03900769590074029,-0.0010680526601932845
4,Joey Fatone,2007-03-19,2007-05-22,US,Dancing with the Stars,0.011958339034622048,0.1,0.021386722034198776,0.002159090909090909,0.09090909090909091,0.01260910179401959,0.00979924812553114
4,John Ratzenberger,2007-03-19,2007-05-22,US,Dancing with the Stars,0.004478870320539979,0.058823529411764705,0.011612503635416004,0.0005952380952380952,0.03333333333333333,0.004414403861366466,0.003883632225301884
4,Laila Ali,2007-03-19,2007-05-22,US,Dancing with the Stars,0.03338760716488053,0.2,0.04657678388971538,0.022002286605341093,0.6,0.09329606854371987,0.01138532055953944
4,Leeza Gibbons,2007-03-19,2007-05-22,US,Dancing with the Stars,0.018201048540483503,0.2857142857142857,0.048672591828290014,0.0019401748040988548,0.05,0.00849499270261935,0.016260873736384646
4,Paulina Porizkova,2007-03-19,2007-05-22,US,Dancing with the Stars,0.014046853064530782,0.14285714285714285,0.03348374603141471,0.009042703077513203,0.18181818181818182,0.03196379690609635,0.005004149987017578
4,Shandi Finnessey,2007-03-19,2007-05-22,US,Dancing with the Stars,0.009556318420644798,0.125,0.025970285925473333,0.013018297103002188,0.2,0.037550912936393184,-0.0034619786823573903
5,Albert Reed,2007-09-24,2007-11-26,US,Dancing with the Stars,0.018760798585846332,0.15,0.040249848719735005,0.012023727379514857,0.2,0.03669970746251275,0.006737071206331475
5,Cameron Mathison,2007-09-24,2007-11-26,US,Dancing with the Stars,0.004525826138714013,0.0547945205479452,0.010175794023748477,0.007425219941348974,0.25,0.03665786462051439,-0.002899393802634961
5,Floyd Mayweather Jr.,2007-09-24,2007-11-26,US,Dancing with the Stars,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Helio Castroneves,2007-09-24,2007-11-26,US,Dancing with the Stars,0.011224673307261127,0.14285714285714285,0.0250959170660842,0.004813551680336224,0.08,0.015491792782758163,0.006411121626924903
5,Jane Seymour,2007-09-24,2007-11-26,US,Dancing with the Stars,0.0806588225789941,0.3333333333333333,0.06329333770821699,0.11830318737766554,0.6666666666666666,0.16631757715125264,-0.03764436479867145
5,Jennie Garth,2007-09-24,2007-11-26,US,Dancing with the Stars,0.03399036416415593,0.16666666666666666,0.04251353007362973,0.016168790283375412,0.2857142857142857,0.04750351993072004,0.017821573880780515
5,Josie Maran,2007-09-24,2007-11-26,US,Dancing with the Stars,0.020017333253928703,0.2,0.045679031356610666,0.03760158386646225,0.5,0.08335380743623859,-0.017584250612533547
5,Marie Osmond,2007-09-24,2007-11-26,US,Dancing with the Stars,0.19579540744526042,0.8260869565217391,0.19012754239867055,0.06064973224693769,0.6,0.12373737896165204,0.1351456751983227
5,Mark Cuban,2007-09-24,2007-11-26,US,Dancing with the Stars,0.07362181493670772,0.18333333333333332,0.05701003451612883,0.057048206321882365,0.3333333333333333,0.08505606703874026,0.016573608614825354
5,Mel B,2007-09-24,2007-11-26,US,Dancing with the Stars,0.009902306857762288,0.1111111111111111,0.021931952694626493,0.051696969696969686,0.6666666666666666,0.15194346732763644,-0.041794662839207394
5,Sabrina Bryan,2007-09-24,2007-11-26,US,Dancing with the Stars,0.06979221578582132,0.3333333333333333,0.08245917906913106,0.01835897131446554,0.25,0.045957287186170856,0.05143324447135578
5,Wayne Newton,2007-09-24,2007-11-26,US,Dancing with the Stars,0.05982778731509674,0.4666666666666667,0.0793061777755239,0.07955876049467561,1.0,0.16908857887413925,-0.01973097317957887
6,Adam Carolla,2008-03-17,2008-04-21,US,Dancing with the Stars,0.075724253366974,0.25,0.04688395064433335,0.19877533546236556,0.6666666666666666,0.14105161390807755,-0.12305108209539156
6,Cristian de la Fuente,2008-03-17,2008-04-21,US,Dancing with the Stars,0.0022849929828420573,0.017543859649122806,0.005190488468358622,0.005360845295055822,0.09090909090909091,0.01980693658676246,-0.003075852312213765
6,Jason Taylor,2008-03-17,2008-04-21,US,Dancing with the Stars,0.07819443893905781,0.16666666666666666,0.04140898781218554,0.11069207943268093,0.5,0.12477939522831513,-0.03249764049362312
6,Kristi Yamaguchi,2008-03-17,2008-04-21,US,Dancing with the Stars,0.027506409759644943,0.1,0.02907634373178626,0.003662565504670768,0.08333333333333333,0.014300271789556767,0.023843844254974177
6,Mario,2008-03-17,2008-04-21,US,Dancing with the Stars,4.150820131743433,11.0,3.0589191884034874,13.50888880177884,29.0,7.510134416014956,-9.358068670035408
6,Marissa Jaret Winokur,2008-03-17,2008-04-21,US,Dancing with the Stars,0.015263748574430561,0.125,0.0260663224431071,0.004079232171337434,0.09,0.01601964940567258,0.011184516403093127
6,Marlee Matlin,2008-03-17,2008-04-21,US,Dancing with the Stars,0.056084160536551186,0.2,0.046368045500819625,0.055300873416474924,0.3076923076923077,0.07884519951850301,0.000783287120076262
6,Monica Seles,2008-03-17,2008-04-21,US,Dancing with the Stars,0.024736232979267032,0.15,0.03819813356091492,0.02680255834391173,1.0,0.135529071906222,-0.002066325364644697
6,Penn Jillette,2008-03-17,2008-04-21,US,Dancing with the Stars,0.0030317059483726152,0.06666666666666667,0.01150621666692804,0.009509040458288579,0.3333333333333333,0.04781813977522916,-0.006477334509915963
6,Priscilla Presley,2008-03-17,2008-04-21,US,Dancing with the Stars,0.2105842665306569,0.4842105263157895,0.10495301843713006,0.0679405848954721,0.4444444444444444,0.09274809528502519,0.14264368163518482
6,Shannon Elizabeth,2008-03-17,2008-04-21,US,Dancing with the Stars,0.1902707247671285,0.6428571428571429,0.16384275559430997,0.16064394095879056,0.3333333333333333,0.11544615233242769,0.029626783808337942
6,Steve Guttenberg,2008-03-17,2008-04-21,US,Dancing with the Stars,0.01095515417324843,0.08333333333333333,0.021149659297552914,0.015091136933242195,0.3333333333333333,0.056157473312867225,-0.004135982759993766
