season,celebrity_name,wiki_title,year,year_total,year_mean,year_peak,year_std,season_total,season_mean,season_peak,season_std,baseline_mean,lift,status
18,Diana Nyad,Diana_Nyad,2014,,,,,,,,,,,ok
18,Drew Carey,Drew_Carey,2014,,,,,,,,,,,ok
18,James Maslow,James_Maslow,2014,,,,,,,,,,,ok
18,Meryl Davis,Meryl_Davis,2014,,,,,,,,,,,ok
18,NeNe Leakes,NeNe_Leakes,2014,,,,,,,,,,,ok
18,Sean Avery,Sean_Avery,2014,,,,,,,,,,,ok
19,Alfonso Ribeiro,Alfonso_Ribeiro,2014,,,,,,,,,,,ok
19,Antonio Sabato Jr.,Antonio_Sabàto_Jr.,2014,,,,,,,,,,,ok
19,Bethany Mota,Bethany_Mota,2014,,,,,,,,,,,ok
19,Betsey Johnson,Betsey_Johnson,2014,,,,,,,,,,,ok
19,Janel Parrish,Janel_Parrish,2014,,,,,,,,,,,ok
19,Jonathan Bennett,Jonathan_Bennett_(actor),2014,,,,,,,,,,,ok
19,Lea Thompson,Lea_Thompson,2014,,,,,,,,,,,ok
19,Lolo Jones,Lolo_Jones,2014,,,,,,,,,,,ok
19,Michael Waltrip,Michael_Waltrip,2014,,,,,,,,,,,ok
19,Randy Couture,Randy_Couture,2014,,,,,,,,,,,ok
19,Sadie Robertson,Sadie_Robertson,2014,,,,,,,,,,,ok
19,Tavis Smiley,Tavis_Smiley,2014,,,,,,,,,,,ok
19,Tommy Chong,Tommy_Chong,2014,,,,,,,,,,,ok
20,Charlotte McKinney,Charlotte_McKinney,2015,490107.0,2663.625,13957.0,1842.3043479463313,,,,,,,ok
20,Chris Soules,Chris_Soules,2015,97078.0,527.5978260869565,4771.0,441.7845003821239,,,,,,,ok
20,Michael Sam,Michael_Sam,2015,313453.0,1703.5489130434783,18961.0,1821.7407877103465,,,,,,,ok
20,Nastia Liukin,Nastia_Liukin,2015,141698.0,770.0978260869565,6207.0,532.9961978774294,,,,,,,ok
20,Noah Galloway,Noah_Galloway,2015,91685.0,498.2880434782609,9978.0,775.7563901209991,,,,,,,ok
20,Patti LaBelle,Patti_LaBelle,2015,318684.0,1731.9782608695652,9105.0,1230.7763675496515,,,,,,,ok
20,Redfoo,Redfoo,2015,432976.0,2353.1304347826085,11461.0,979.031028479638,,,,,,,ok
20,Riker Lynch,Riker_Lynch,2015,155983.0,847.7336956521739,2777.0,436.48035186048776,,,,,,,ok
20,Robert Herjavec,Robert_Herjavec,2015,550165.0,2990.0271739130435,11369.0,1169.9722703517436,,,,,,,ok
20,Rumer Willis,Rumer_Willis,2015,433541.0,2356.2010869565215,8429.0,800.7108104399117,,,,,,,ok
20,Suzanne Somers,Suzanne_Somers,2015,231514.0,1258.2282608695652,3848.0,351.07422426098685,,,,,,,ok
20,Willow Shields,Willow_Shields,2015,231384.0,1257.5217391304348,7715.0,1118.4975071230392,,,,,,,ok
21,Alek Skarlatos,Alek_Skarlatos,2015,516469.0,4376.85593220339,64678.0,8793.067220274244,376967.0,5309.394366197183,47804.0,7686.890703629507,1227.2222222222222,4082.1721439749613,ok
21,Alexa PenaVega,Alexa_PenaVega,2015,231953.0,1260.6141304347825,22579.0,2394.0448099798873,156918.0,2210.112676056338,22579.0,3448.9557617428254,1241.642857142857,968.4698189134808,ok
21,Andy Grammer,Andy_Grammer,2015,770290.0,4186.358695652174,40468.0,5470.974230827715,390270.0,5496.760563380281,40468.0,7996.628108877154,3457.785714285714,2038.9748490945672,ok
21,Bindi Irwin,Bindi_Irwin,2015,1550117.0,8424.548913043478,139130.0,14385.418123005478,872649.0,12290.830985915492,80084.0,13279.978341856082,5653.428571428572,6637.402414486921,ok
21,Carlos PenaVega,Carlos_PenaVega,2015,96798.0,526.0760869565217,10452.0,1078.8474499658103,66029.0,929.9859154929577,10452.0,1585.2210268688016,638.75,291.2359154929577,ok
21,Chaka Khan,Chaka_Khan,2015,502944.0,2733.391304347826,59965.0,5416.470716323864,275603.0,3881.7323943661972,59965.0,8435.852780819188,3053.0,828.7323943661972,ok
21,Gary Busey,Gary_Busey,2015,1358766.0,7384.597826086957,200821.0,19089.17848208416,949875.0,13378.521126760563,200821.0,29577.359569350065,5285.107142857143,8093.41398390342,ok
21,Hayes Grier,Hayes_Grier,2015,381169.0,3403.2946428571427,34342.0,6194.722018492829,342133.0,4818.774647887324,34342.0,7369.574895908143,1.0,4817.774647887324,ok
21,Kim Zolciak-Biermann,Kim_Zolciak,2015,1212816.0,6591.391304347826,69783.0,7966.840921644787,651160.0,9171.267605633802,69783.0,10414.237136034993,9880.642857142857,-709.3752515090546,ok
21,Nick Carter,Nick_Carter,2015,25092.0,136.3695652173913,1650.0,190.9672301384913,14440.0,203.38028169014083,1650.0,247.36591850810262,102.28571428571429,101.09456740442654,ok
21,Paula Deen,Paula_Deen,2015,409403.0,2225.016304347826,24857.0,2923.127751740426,240851.0,3392.2676056338028,24857.0,4308.318730142873,1830.0714285714287,1562.196177062374,ok
21,Tamar Braxton,Tamar_Braxton,2015,821747.0,4466.016304347826,29744.0,4757.628271107204,487619.0,6867.87323943662,29744.0,6770.56092487564,3208.5714285714284,3659.3018108651913,ok
21,Victor Espinoza,Victor_Espinoza,2015,184911.0,1004.9510869565217,24433.0,2507.6005837901907,116307.0,1638.1267605633802,24433.0,3791.2463517192755,1289.0357142857142,349.091046277666,ok
22,Antonio Brown,Antonio_Brown,2016,1403124.0,3833.6721311475408,68525.0,6270.634253541051,307063.0,4797.859375,59570.0,8407.348007968958,2023.8214285714287,2774.0379464285716,ok
22,Doug Flutie,Doug_Flutie,2016,1010483.0,2760.882513661202,109963.0,8265.660415458846,505183.0,7893.484375,109963.0,18430.515708492963,2937.1785714285716,4956.305803571428,ok
22,Geraldo Rivera,Geraldo_Rivera,2016,828296.0,2263.103825136612,53849.0,3937.5076400497114,277296.0,4332.75,53849.0,8663.32555589942,2807.3214285714284,1525.4285714285716,ok
22,Ginger Zee,Ginger_Zee,2016,734942.0,2008.0382513661202,47779.0,4610.301528569383,385254.0,6019.59375,47779.0,8937.01567869336,3168.8571428571427,2850.7366071428573,ok
22,Jodie Sweetin,Jodie_Sweetin,2016,3903638.0,10665.677595628415,360606.0,28769.941034637046,695753.0,10871.140625,61976.0,10747.081863910762,70735.03571428571,-59863.89508928571,ok
22,Kim Fields,Kim_Fields,2016,904943.0,2472.5218579234975,47273.0,4752.3863672841735,335278.0,5238.71875,47273.0,7890.8599528757595,4822.678571428572,416.04017857142844,ok
22,Marla Maples,Marla_Maples,2016,8104474.0,22143.371584699453,664268.0,48551.01662494285,1208262.0,18879.09375,143959.0,22579.829432011018,31324.571428571428,-12445.477678571428,ok
22,Mischa Barton,Mischa_Barton,2016,1336366.0,3651.273224043716,94524.0,7397.93198113363,544446.0,8506.96875,94524.0,16433.83362244712,4947.821428571428,3559.1473214285716,ok
22,Nyle DiMarco,Nyle_DiMarco,2016,1613895.0,4409.549180327869,114376.0,8857.54092800576,658343.0,10286.609375,68445.0,12155.597191491133,3658.1428571428573,6628.466517857143,ok
22,Paige VanZant,Paige_VanZant,2016,1556030.0,4251.448087431694,91032.0,8181.611081027066,498189.0,7784.203125,41414.0,8785.13186294692,3308.535714285714,4475.667410714286,ok
22,Von Miller,Von_Miller,2016,2182048.0,5961.879781420765,567038.0,30402.810865192598,269212.0,4206.4375,30860.0,5027.080156745439,3543.4285714285716,663.0089285714284,ok
22,Wanya Morris,Wanya_Morris,2016,389406.0,1063.950819672131,67541.0,3842.530427337302,217320.0,3395.625,67541.0,8714.84373335948,953.8214285714286,2441.8035714285716,ok
23,Amber Rose,Amber_Rose,2016,4545323.0,12418.915300546449,198201.0,17252.484466081656,1490748.0,20996.450704225354,198201.0,30659.053612999094,11156.714285714286,9839.736418511067,ok
23,Babyface,Babyface_(musician),2016,725969.0,1983.5218579234972,65235.0,4182.935577064504,281623.0,3966.521126760563,65235.0,8697.061612996535,1921.9285714285713,2044.592555331992,ok
23,Calvin Johnson Jr.,Calvin_Johnson,2016,1459461.0,3987.598360655738,93158.0,7825.073991507404,449405.0,6329.647887323944,34298.0,6564.707817958969,3774.6785714285716,2554.9693158953723,ok
23,Jake T. Austin,Jake_T._Austin,2016,1189884.0,3251.0491803278687,49291.0,4303.124093585311,315064.0,4437.521126760564,49291.0,7683.0799994352965,4411.678571428572,25.842555331992116,ok
23,James Hinchcliffe,James_Hinchcliffe,2016,539512.0,1474.0765027322404,60629.0,5130.668104818085,317857.0,4476.859154929577,42441.0,7501.423916090535,867.3214285714286,3609.5377263581486,ok
23,Jana Kramer,Jana_Kramer,2016,1690862.0,4619.841530054645,127247.0,10550.7878325486,951281.0,13398.323943661971,127247.0,20863.63707356208,4935.035714285715,8463.288229376256,ok
23,Laurie Hernandez,Laurie_Hernandez,2016,1566979.0,4281.363387978142,204519.0,15651.702280948433,276497.0,3894.323943661972,32856.0,4995.89726259866,10852.035714285714,-6957.711770623742,ok
23,Marilu Henner,Marilu_Henner,2016,969861.0,2649.8934426229507,75627.0,6799.655437438025,591596.0,8332.338028169013,75627.0,13546.077188975436,3378.8928571428573,4953.4451710261565,ok
23,Maureen McCormick,Maureen_McCormick,2016,1769069.0,4833.521857923497,145413.0,11638.66372267548,805635.0,11346.971830985916,145413.0,22792.74133836289,4216.821428571428,7130.150402414488,ok
